poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation

0,27,4812,27930,3955,2458,1072,4428,79264,18019,13,43

0,362,4812,27930,3955,2458,1072,4428,79264,18019,13,43

0,-251,4812,27930,3955,2458,1072,4428,79264,18019,13,43

0,2,4812,27930,3955,2458,1072,4428,79264,18019,13,43

0,120,4812,27930,3955,2458,1072,4428,79264,18019,13,43

0,68,4812,27930,3955,2458,1072,4428,79264,18019,13,43

0,52,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,108,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,38,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,93,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,67,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,113,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,-2,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,-1462,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,851,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,52,5940,6277,4265,1104,1274,2568,131382,19959,30,56

0,82,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,421,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,3,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,-45,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,404,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,117,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,-1116,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,-125,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,28,10391,32446,26731,28366,2108,7750,780109,136623,64,56

0,51,10391,32446,26731,28366,2108,7750,780109,136623,64,56

25,53,7587,13192,2867,2965,849,972,102346,8764,64,56

25,54,7587,13192,2867,2965,849,972,102346,8764,64,56

25,54,7587,13192,2867,2965,849,972,102346,8764,64,56

25,54,7587,13192,2867,2965,849,972,102346,8764,64,56

25,54,7587,13192,2867,2965,849,972,102346,8764,64,56

25,53,7587,13192,2867,2965,849,972,102346,8764,64,56

25,53,7587,13192,2867,2965,849,972,102346,8764,64,56

25,54,7587,13192,2867,2965,849,972,102346,8764,64,56

25,53,7587,13192,2867,2965,849,972,102346,8764,64,56

54,53,2,2,1,0,0,3,10,8,64,56

54,53,2,2,1,0,0,3,10,8,64,56

54,54,2,2,1,0,0,3,10,8,64,56

54,54,2,2,1,0,0,3,10,8,64,56

54,53,2,2,1,0,0,3,10,8,64,56

54,54,2,2,1,0,0,3,10,8,64,56

54,54,2,2,1,0,0,3,10,8,64,56

54,53,2,2,1,0,0,3,10,8,64,56

54,53,2,2,1,0,0,3,10,8,64,56

54,53,2,2,1,0,0,3,10,8,64,56

54,53,1,0,2,1,0,2,5,1,64,56

54,53,1,0,2,1,0,2,5,1,64,56

54,54,1,0,2,1,0,2,5,1,64,56

54,53,1,0,2,1,0,2,5,1,64,56

54,53,1,0,2,1,0,2,5,1,64,56

54,54,1,0,2,1,0,2,5,1,64,56

54,53,1,0,2,1,0,2,5,1,64,56

54,54,1,0,2,1,0,2,5,1,64,56

54,54,1,0,2,1,0,2,5,1,64,56

54,53,0,0,1,0,1,0,4,1,64,56

54,54,0,0,1,0,1,0,4,1,64,56

54,54,0,0,1,0,1,0,4,1,64,56

54,54,0,0,1,0,1,0,4,1,64,56

54,54,0,0,1,0,1,0,4,1,64,56

54,54,0,0,1,0,1,0,4,1,64,56

54,54,0,0,1,0,1,0,4,1,64,56

54,54,0,0,1,0,1,0,4,1,64,56

54,55,0,0,1,0,1,0,4,1,64,56

54,2047,0,0,1,0,1,0,4,1,64,56

54,505,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,-168,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,482,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,-980,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,-689,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,-181,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,-38,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,-216,34614,13890,32148,40194,3955,2383,25377,8526,64,56

54,661,34614,13890,32148,40194,3955,2383,25377,8526,64,56

200,768,325898,57373,33862,237815,47202,81590,1067872,3301388,0,0

200,-329,325898,57373,33862,237815,47202,81590,1067872,3301388,0,0

200,581,325898,57373,33862,237815,47202,81590,1067872,3301388,0,0

200,-524,325898,57373,33862,237815,47202,81590,1067872,3301388,0,0

